,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DDX28,0,0.834174361176723,0,0.789778827571398,0.789778827571398,0.789778827571398,0.787041013528022,0.789778827571398,0,0,0.789778827571398,0.789778827571398,0.789778827571398,0,0.789778827571398,1,0,0.789778827571398,0.789778827571398,0.789778827571398,0,0.789778827571398,0.789778827571398,0.789778827571398,0,0,0.789778827571398,0,0
EDC4,0,0.936493450719347,0,0.916845608761005,0.916845608761005,0.916845608761005,0.914644621000644,0.916845608761005,0,0,0.916845608761005,0.916845608761005,0.916845608761005,0,0.916845608761005,1,0,0.916845608761005,0.916845608761005,0.916845608761005,0,0.916845608761005,0.916845608761005,0.916845608761005,0,0,0.916845608761005,0,0
ACD,0,0.927635817049603,0,0.90653854412712,0.90653854412712,0.90653854412712,0.904659652136569,0.90653854412712,0,0,0.90653854412712,0.90653854412712,0.90653854412712,0,0.90653854412712,1,0,0.90653854412712,0.90653854412712,0.90653854412712,0,0.90653854412712,0.90653854412712,0.90653854412712,0,0,0.90653854412712,0,0
E2F4,0,0.873953188748121,0,0.840777324457806,0.840777324457806,0.840777324457806,0.83803951041443,0.840777324457806,0,0,0.840777324457806,0.840777324457806,0.840777324457806,0,0.840777324457806,1,0,0.840777324457806,0.840777324457806,0.840777324457806,0,0.840777324457806,0.840777324457806,0.840777324457806,0,0,0.840777324457806,0,0
VPS4A,0,0.814794932359888,0,0.76556796220743,0.76556796220743,0.76556796220743,0.762776465535753,0.76556796220743,0,0,0.76556796220743,0.76556796220743,0.76556796220743,0,0.76556796220743,1,0,0.76556796220743,0.76556796220743,0.76556796220743,0,0.76556796220743,0.76556796220743,0.76556796220743,0,0,0.76556796220743,0,0
COG8,0,0.855056903586,0,0.816405411208933,0.816405411208933,0.816405411208933,0.813667597165557,0.816405411208933,0,0,0.816405411208933,0.816405411208933,0.816405411208933,0,0.816405411208933,1,0,0.816405411208933,0.816405411208933,0.816405411208933,0,0.816405411208933,0.816405411208933,0.816405411208933,0,0,0.816405411208933,0,0
NIP7,0,0.855056903586,0,0.816405411208933,0.816405411208933,0.816405411208933,0.813667597165557,0.816405411208933,0,0,0.816405411208933,0.816405411208933,0.816405411208933,0,0.816405411208933,1,0,0.816405411208933,0.816405411208933,0.816405411208933,0,0.816405411208933,0.816405411208933,0.816405411208933,0,0,0.816405411208933,0,0
COG4,0,0.837824779901224,0,0.794341850977024,0.794341850977024,0.794341850977024,0.791496671677045,0.794341850977024,0,0,0.794341850977024,0.794341850977024,0.794341850977024,0,0.794341850977024,1,0,0.794341850977024,0.794341850977024,0.794341850977024,0,0.794341850977024,0.794341850977024,0.794341850977024,0,0,0.794341850977024,0,0
TERF2,0,0.953940304917329,0,0.940627013098561,0.940627013098561,0.940627013098561,0.936547133347649,0.940627013098561,0,0,0.940627013098561,0.940627013098561,0.940627013098561,0,0.940627013098561,1,0,0.940627013098561,0.940627013098561,0.940627013098561,0,0.940627013098561,0.940627013098561,0.940627013098561,0,0,0.940627013098561,0,0
PDF,0,0.841797294395534,0,0.799602748550569,0.799602748550569,0.799602748550569,0.796596521365686,0.799602748550569,0,0,0.799602748550569,0.799602748550569,0.799602748550569,0,0.799602748550569,1,0,0.799602748550569,0.799602748550569,0.799602748550569,0,0.799602748550569,0.799602748550569,0.799602748550569,0,0,0.799602748550569,0,0
NUTF2,0,0.998765299549066,0,0.998765299549066,0.998765299549066,0.998765299549066,0.998443203779257,0.998765299549066,0,0,0.998765299549066,0.998765299549066,0.998765299549066,0,0.998765299549066,1,0,0.998765299549066,0.998765299549066,0.998765299549066,0,0.998765299549066,0.998765299549066,0.998765299549066,0,0,0.998765299549066,0,0
PSKH1,0,0.898593515138501,0,0.87137642258965,0.87137642258965,0.87137642258965,0.867994417006657,0.87137642258965,0,0,0.87137642258965,0.87137642258965,0.87137642258965,0,0.87137642258965,1,0,0.87137642258965,0.87137642258965,0.87137642258965,0,0.87137642258965,0.87137642258965,0.87137642258965,0,0,0.87137642258965,0,0
C16orf86,0,0.948625724715482,0,0.933111445136354,0.933111445136354,0.933111445136354,0.929675756925059,0.933111445136354,0,0,0.933111445136354,0.933111445136354,0.933111445136354,0,0.933111445136354,1,0,0.933111445136354,0.933111445136354,0.933111445136354,0,0.933111445136354,0.933111445136354,0.933111445136354,0,0,0.933111445136354,0,0
KARS,0,0.894674683272493,0,0.866276572901009,0.866276572901009,0.866276572901009,0.862733519433111,0.866276572901009,0,0,0.866276572901009,0.866276572901009,0.866276572901009,0,0.866276572901009,1,0,0.866276572901009,0.866276572901009,0.866276572901009,0,0.866276572901009,0.866276572901009,0.866276572901009,0,0,0.866276572901009,0,0
CFDP1,0,0.948625724715482,0,0.933111445136354,0.933111445136354,0.933111445136354,0.929675756925059,0.933111445136354,0,0,0.933111445136354,0.933111445136354,0.933111445136354,0,0.933111445136354,1,0,0.933111445136354,0.933111445136354,0.933111445136354,0,0.933111445136354,0.933111445136354,0.933111445136354,0,0,0.933111445136354,0,0
ZNRF1,0,0.914913034142152,0,0.890702168778183,0.890702168778183,0.890702168778183,0.888554863646124,0.890702168778183,0,0,0.890702168778183,0.890702168778183,0.890702168778183,0,0.890702168778183,1,0,0.890702168778183,0.890702168778183,0.890702168778183,0,0.890702168778183,0.890702168778183,0.890702168778183,0,0,0.890702168778183,0,0
