,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TLE3,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683
BCOR,0.945192978689141,0,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0,0.945192978689141,0.945192978689141,0,0,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0.945192978689141,0,0.945192978689141,0.945192978689141,0.945192978689141,0,0.945192978689141,0.945192978689141
TNRC18,0.992484835471577,0,0.992484835471577,0.992484835471577,0,0.992484835471577,0.992484835471577,0,0.992484835471577,0.992484835471577,0.992484835471577,0,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0.992484835471577,0,0.992484835471577,0.992484835471577,0.992484835471577,0,0.992484835471577,0.992484835471577
SRRM2,0.940308121745665,0,0.940308121745665,0,0.940308121745665,0.940308121745665,0.940308121745665,0,0,0.940308121745665,0.940308121745665,0,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0.940308121745665,0,0.940308121745665,0.940308121745665,0.940308121745665,0,0.940308121745665,0.940308121745665
CRAMP1L,0.979064898813678,0,0,0,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0,0.979064898813678,0.979064898813678,0,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0.979064898813678,0,0.979064898813678,0.979064898813678,0.979064898813678,0,0.979064898813678,0.979064898813678
BAHCC1,0.995812979762736,0,0,0.995812979762736,0,0.995812979762736,0.995812979762736,0,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0,0.995812979762736,0,0.995812979762736,0,0.995812979762736,0.995812979762736
THOC7,0.938214611627033,0.938214611627033,0,0.938214611627033,0,0.938214611627033,0.938214611627033,0,0.938214611627033,0.938214611627033,0.938214611627033,0,0,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0.938214611627033,0,0.938214611627033,0,0,0.938214611627033
DLG5,0.985399108916206,0.985399108916206,0,0,0.985399108916206,0.985399108916206,0.985399108916206,0,0.985399108916206,0,0.985399108916206,0,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0.985399108916206,0,0.985399108916206,0.985399108916206,0,0,0.985399108916206,0.985399108916206
SETD1A,0.929303773686188,0,0,0,0.929303773686188,0.929303773686188,0.929303773686188,0,0.929303773686188,0.929303773686188,0.929303773686188,0.929303773686188,0.929303773686188,0.929303773686188,0.929303773686188,0.929303773686188,0.929303773686188,0,0.929303773686188,0.929303773686188,0,0.929303773686188,0,0.929303773686188,0,0.929303773686188,0,0,0.929303773686188
ZBTB40,0.935476944548822,0,0.935476944548822,0,0.935476944548822,0.935476944548822,0.935476944548822,0,0,0.935476944548822,0.935476944548822,0,0.935476944548822,0.935476944548822,0.935476944548822,0.935476944548822,0.935476944548822,0.935476944548822,0.935476944548822,0.935476944548822,0,0.935476944548822,0,0.935476944548822,0,0.935476944548822,0,0.935476944548822,0.935476944548822
