,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SMARCC1,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291,0.922003328144291
ADNP,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0.992323796231682,0,0.992323796231682,0.992323796231682
BPTF,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0.915132320575447,0,0.915132320575447,0.915132320575447
OXSR1,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0.941650115411455,0,0.941650115411455,0.941650115411455,0.941650115411455
PRPF4B,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0,0.929142734446293,0,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293,0.929142734446293
SMC3,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0,0.91894358258629,0.91894358258629,0,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629,0.91894358258629
ATAD2B,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0,0.973267486177465,0.973267486177465,0,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0.973267486177465,0,0.973267486177465,0.973267486177465,0.973267486177465
TAF1,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0.938268291373665,0,0.938268291373665,0.938268291373665
ZNF146,0.98217832411831,0.98217832411831,0.98217832411831,0,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0,0.98217832411831,0.98217832411831
CDC5L,0.968812067207043,0.968812067207043,0,0.968812067207043,0,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0,0.968812067207043,0,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043,0.968812067207043
TTC3,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168
SP3,0.951527188791669,0,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0,0.951527188791669,0,0.951527188791669,0.951527188791669,0,0.951527188791669,0.951527188791669,0.951527188791669,0,0.951527188791669,0,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669,0.951527188791669
GEMIN5,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0.996940254441999,0,0,0.996940254441999,0.996940254441999,0,0.996940254441999,0.996940254441999
ATXN7,0.971281335552096,0,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0,0.971281335552096,0,0.971281335552096
