,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PRPF31,0.977345930856775,0.791765084818553,0.828698733089972,0.728097487652996,0.852050676401117,0.852426454799227,0.957912819411638,0.935741893923126,0,0,0,0.843300407987975,0,0,0.69057333047026,0.948142581060769,0.740337126905733,0.96956194975306,0,0,0.898110371483788,0.935849259179729,0.920442344857204,0.865525016104788,0.782209576980889,0.872879536182091,0.772224608116813,0,0.955228687996564
UBE2M,0.928816834872235,0.88114666094052,0.961563238136139,0.931554648915611,0.936117672321237,0.861498818982177,0.921086536396822,0.924092763581705,0,0,0,0.933916684560876,0,0,0.881790852480137,0.921569680051535,0.946210006441915,0.941163839381576,0,0,0.942720635602319,0.894943096414,0.912175220098776,0.921784410564741,0.933863001932575,0.91196048958557,0.941110156753275,0,0.660779471762937
ZBTB45,0.992645479922697,0.955013957483358,0.990176079020829,0.962046381790852,0.984861498818982,0.970796650203994,0.993289671462315,0.992054971011381,0,0,0,0.983036289456732,0,0,0.898056688855486,0.990551857418939,0.962529525445566,0.996349581275499,0,0,0.987277217092549,0.98657934292463,0.987706678118961,0.983573115739747,0.901385011810178,0.982338415288812,0.974822847326605,0,0.988458234915181
RUVBL2,0.928065278076015,0.905464891561091,0.868370195404767,0.86085462744256,0.867242860210436,0.817640111659867,0.830738672965428,0.936708181232553,0,0,0,0.890326390380073,0,0,0.870571183165128,0.910242645479923,0.885763366974447,0.862250375778398,0,0,0.858492591797294,0.954423448572042,0.931339918402405,0.858116813399184,0.820377925703242,0.822901009233412,0.65723641829504,0,0.447337341636246
POLD1,0.945028988619283,0.957268627872021,0.911531028559158,0.9637642258965,0.964193686922912,0.773083530169637,0.943686922911746,0.89456731801589,0,0,0,0.885924414859351,0,0,0.886461241142366,0.971226111230406,0.964086321666309,0.96848829718703,0,0,0.932681984109942,0.960543268198411,0.937352372772171,0.859190465965214,0.935688211294825,0.880609834657505,0.652136568606399,0,0.363538758857634
PRMT1,0.925917972943955,0.95254455658149,0.900794502898862,0.943311144513635,0.904659652136569,0.798797509126047,0.929890487438265,0.899452437191325,0,0,0,0.837771097272922,0,0,0.888501181017823,0.955604466394675,0.9710113807172,0.901062916040369,0,0,0.924736955121323,0.929085248013743,0.857687352372772,0.854734807816191,0.89709040154606,0.874973158685849,0.832456517071076,0,0.0607687352372772
HSPBP1,0.878140433755637,0.950880395104144,0.908041657719562,0.939231264762723,0.962207429675757,0.827034571612626,0.93805024694009,0.9202812969723,0,0,0,0.904874382649774,0,0,0.879911960489586,0.954960274855057,0.943150096628731,0.951631951900365,0,0,0.902941808030921,0.956731801589006,0.947283659007945,0.858438909168993,0.633240283444277,0.933809319304273,0.572632596091905,0,0.0506227184882972
ZNF787,0.911423663302555,0.959952759287095,0.963817908524801,0.946585784840026,0.958020184668241,0.956570753704101,0.913624651062916,0.948572042087181,0,0,0,0.981962636890702,0,0,0.988941378569895,0.91051105862143,0.931662014172214,0.908363753489371,0,0,0.973212368477561,0.957751771526734,0.981211080094481,0.962422160188963,0.963227399613485,0.95979171140219,0.790691432252523,0,0.312916040369336
SCAF1,0.866491303414215,0.905572256817694,0.811359244148594,0.886622289027271,0.821344213012669,0.811305561520292,0.875295254455658,0.898056688855486,0,0,0,0.686386085462744,0,0,0.787524157182736,0.873792140863217,0.930158900579772,0.829503972514494,0,0,0.83803951041443,0.893601030706463,0.758964998926347,0.817371698518359,0.601728580631308,0.734539403049173,0.731211080094481,0,0.298045952329826
CNOT3,0.90471333476487,0.908954262400687,0.885709684346146,0.875993128623577,0.921891775821344,0.892956839166846,0.950987760360747,0.941324887266481,0,0,0,0.883723427098991,0,0,0.777270775177153,0.96483787846253,0.904230191110157,0.964945243719132,0,0,0.888876959415933,0.886890702168778,0.901599742323384,0.886353875885763,0.577839811037148,0.927313721279794,0.878462529525446,0,0.948518359458879
GRWD1,0.947283659007945,0.984109942022761,0.910994202276143,0.98802877388877,0.988672965428387,0.891561090831007,0.941593300407988,0.950450934077732,0,0,0,0.874114236633026,0,0,0.918724500751557,0.963388447498389,0.991088683701954,0.970742967575693,0,0,0.901546059695083,0.990981318445351,0.95614129267769,0.887642258964999,0.588952115095555,0.867726003865149,0.552340562593945,0,0.156431178870517
RPS5,0.94529740176079,0.993235988834013,0.989531887481211,0.993772815117028,0.992645479922697,0.949592012024909,0.979278505475628,0.977453296113378,0,0,0,0.986794073437836,0,0,0.975896499892635,0.988887695941593,0.995920120249087,0.97498389521151,0,0,0.978741679192613,0.975252308353017,0.979815331758643,0.96558943525875,0.942130126691003,0.978151170281297,0.972246081168134,0,0.454638179085248
