,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TRRAP,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404,0.946320253368404
NUP205,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667,0,0.944387782489667,0.944387782489667,0.944387782489667,0.944387782489667
RIF1,0,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766,0.925868269901766
ADNP,0,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359,0.969348864673359
DHX33,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148,0.968651027967148
CDK12,0,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624,0.975575715282624
GPATCH8,0,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459
ANAPC1,0,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0,0.924472596489345,0,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345
KIAA0947,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717,0.938697729346717
CCNT1,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0,0.951366149551774,0,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774,0.951366149551774
