,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SCNM1,0,0,0.842119390165343,0.839703671891776,0.894513635387589,0,0.820324243074941,0,0,0.83986471977668,0,0.838952115095555,0.818176937942882,0.823223105003221,0.831651277646554,0.853016963710543,0,0.866008159759502,0.823491518144728,0,0,0.826175649559802,0.83261756495598,0,0.837663732016319,0.872503757783981,0.83948894137857,0,0
PPOX,0,0,0.956624436332403,0.967522009877604,0.958503328322955,0,0.967092548851192,0,0,0.937728151170281,0,0.957322310500322,0.970904015460597,0.980459523298261,0.951256173502255,0.957537041013528,0,0.961992699162551,0.962958986471978,0,0,0.962207429675757,0.960006441915396,0,0.947927850547563,0.962905303843676,0.977077517715267,0,0
MRPL55,0,0,0.924307494094911,0.918617135494954,0.910403693364827,0,0.916469830362895,0,0,0.919261327034572,0,0.931017822632596,0.890648486149882,0.917865578698733,0.925434829289242,0.907826927206356,0,0.835355378999356,0.915127764655358,0,0,0.924522224608117,0.902404981747906,0,0.946800515353232,0.922589649989264,0.878569894782048,0,0
MRPS21,0,0,0.857472621859566,0.866437620785914,0.951148808245652,0,0.912604681125188,0,0,0.881039295683917,0,0.874490015031136,0.864182950397251,0.895533605325317,0.899613485076229,0.970367189177582,0,0.92173072793644,0.830631307708825,0,0,0.901975520721495,0.890326390380073,0,0.89998926347434,0.894943096414,0.857365256602963,0,0
PMF1,0,0,0.85215804165772,0.736525660296328,0.8659544771312,0,0.751288383079236,0,0,0.807010951256174,0,0.553038436761864,0.742430749409491,0.83186600815976,0.742591797294396,0.904767017393172,0,0.978473266051106,0.847058191969079,0,0,0.81232553145802,0.545093407773245,0,0.508803951041443,0.846038222031351,0.835945887910672,0,0
PSMD4,0,0,0.710596950826712,0.749731586858493,0.72498389521151,0,0.81667382435044,0,0,0.725467038866223,0,0.720045093407773,0.743289671462315,0.723802877388877,0.843622503757784,0.814150740820271,0,0.766373201631952,0.681554648915611,0,0,0.762561735022547,0.710811681339918,0,0.804004724071291,0.730298475413356,0.743397036718918,0,0
C1orf35,0,0,0.92248228473266,0.918563452866652,0.916630878247799,0,0.904444921623363,0,0,0.918724500751557,0,0.931393601030706,0.880395104144299,0.901921838093193,0.917221387159115,0.893171569680052,0,0.79058406699592,0.903961777968649,0,0,0.918939231264763,0.906431178870517,0,0.951417221387159,0.921408632166631,0.871215374704746,0,0
MXD3,0,0,0.84528666523513,0.861069357955766,0.955711831651278,0,0.938587073223105,0,0,0.849312862357741,0,0.918080309211939,0.904605969508267,0.941485935151385,0.90143869443848,0.982660511058621,0,0.976057547777539,0.878838307923556,0,0,0.899935580846038,0.879643547348078,0,0.912336267983681,0.91196048958557,0.88984324672536,0,0
JTB,0,0,0.976540691432253,0.97643332617565,0.979815331758643,0,0.98008374490015,0,0,0.965643117887052,0,0.962207429675757,0.973158685849259,0.970259823920979,0.987760360747262,0.975091260468113,0,0.992806527807601,0.96956194975306,0,0,0.974447068928495,0.934668241357097,0,0.981908954262401,0.977614343998282,0.983519433111445,0,0
ZNF692,0,0,0.858599957053897,0.874328967146231,0.816459093837234,0,0.839542624006871,0,0,0.860908310070861,0,0.83986471977668,0.832134421301267,0.797938587073223,0.869390165342495,0.734485720420872,0,0.830255529310715,0.850386514923771,0,0,0.855003220957698,0.754509340777324,0,0.909276358170496,0.843944599527593,0.847863431393601,0,0
INO80E,0,0,0.955926562164484,0.974608116813399,0.965696800515353,0,0.977238565600172,0,0,0.96086536396822,0,0.97970796650204,0.975091260468113,0.957912819411638,0.967092548851192,0.964945243719132,0,0.904498604251664,0.95834228043805,0,0,0.967146231479493,0.982123684775607,0,0.97933218810393,0.966931500966287,0.970528237062487,0,0
TAZ,0,0,0.982660511058621,0.978419583422804,0.976648056688855,0,0.983519433111445,0,0,0.982284732660511,0,0.967575692505905,0.984646768305776,0.987491947605755,0.976755421945459,0.98985398325102,0,0.98802877388877,0.984593085677475,0,0,0.983841528881254,0.964515782692721,0,0.959738028773889,0.980244792785055,0.980405840669959,0,0
PSMG3,0,0,0.964569465321022,0.957000214730513,0.964730513205927,0,0.960167489800301,0,0,0.948572042087181,0,0.897412497315869,0.962583208073867,0.949162550998497,0.958879106721065,0.966233626798368,0,0.987438264977453,0.965374704745544,0,0,0.960811681339918,0.862089327893494,0,0.920496027485506,0.964730513205927,0.977936439768091,0,0
TRIM11,0,0,0.824887266480567,0.766695297401761,0.699753059909813,0,0.704047670173932,0,0,0.858224178655787,0,0.72391024264548,0.738350869658578,0.786343139360103,0.756495598024479,0.715643117887052,0,0.665235129911961,0.80470259823921,0,0,0.802555293107151,0.728419583422804,0,0.710972729224823,0.757515567962207,0.627388876959416,0,0
NIT1,0,0,0.833208073867297,0.852426454799227,0.872235344642474,0,0.885280223319734,0,0,0.782639038007301,0,0.798851191754348,0.867940734378355,0.867618638608546,0.849796006012454,0.905518574189392,0,0.936976594374061,0.843300407987975,0,0,0.851996993772815,0.810124543697659,0,0.798529095984539,0.846575048314365,0.915074082027056,0,0
