,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
USP49,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822,0.936496859734822
SHPRH,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978,0.929625852165978
CASP8AP2,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925,0.928176499006925
RBM12,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783,0.979923774759783
ERN1,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041,0.961672660905041
ZNF134,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468,0.981426807665468
NCOR1,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309
ZNF407,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469,0.985506468409469
ZNF551,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761
ZNF8,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559
