,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZMAT2,0.992967953191261,0.992967953191261,0.992967953191261,0,0.992967953191261,0.992967953191261,0.992967953191261,0.992967953191261,0.992967953191261,0.992967953191261,0.992967953191261,0,0,0.992967953191261,0.992967953191261,0.992967953191261,0.992967953191261,0,0,0.992967953191261,0.992967953191261,0,0,0.992967953191261,0,0.992967953191261,0,0.992967953191261,0.992967953191261
IK,0.982070964625047,0.982070964625047,0,0,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047,0,0.982070964625047,0,0,0.982070964625047,0,0,0,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047
HARS2,0.991196521552418,0.991196521552418,0.991196521552418,0,0.991196521552418,0.991196521552418,0,0.991196521552418,0.991196521552418,0,0.991196521552418,0,0,0.991196521552418,0,0,0.991196521552418,0,0,0.991196521552418,0.991196521552418,0,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0,0.991196521552418,0.991196521552418
C5orf24,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0.98217832411831,0,0.98217832411831,0,0.98217832411831,0,0,0,0,0.98217832411831,0.98217832411831,0,0,0.98217832411831,0,0.98217832411831,0.98217832411831,0,0.98217832411831,0,0.98217832411831,0.98217832411831,0,0.98217832411831,0.98217832411831
RAD51C,0,0.997745450641473,0,0,0,0,0.997745450641473,0.997745450641473,0.997745450641473,0,0.997745450641473,0,0,0.997745450641473,0,0,0,0.997745450641473,0,0.997745450641473,0.997745450641473,0,0.997745450641473,0,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473
NBR1,0.981802565891889,0.981802565891889,0,0.981802565891889,0,0,0,0,0.981802565891889,0.981802565891889,0.981802565891889,0.981802565891889,0,0.981802565891889,0,0,0.981802565891889,0,0.981802565891889,0.981802565891889,0.981802565891889,0,0,0,0,0.981802565891889,0,0.981802565891889,0.981802565891889
C8orf76,0,0.981373127918836,0,0,0,0,0.981373127918836,0.981373127918836,0.981373127918836,0,0,0,0.981373127918836,0.981373127918836,0,0.981373127918836,0.981373127918836,0,0,0.981373127918836,0.981373127918836,0,0.981373127918836,0,0.981373127918836,0.981373127918836,0.981373127918836,0,0.981373127918836
FANCD2,0,0,0.989854527886628,0,0.989854527886628,0,0.989854527886628,0,0.989854527886628,0,0.989854527886628,0,0.989854527886628,0.989854527886628,0,0,0,0.989854527886628,0,0.989854527886628,0.989854527886628,0,0,0,0,0.989854527886628,0.989854527886628,0.989854527886628,0.989854527886628
ZNF358,0,0.98486231144989,0.98486231144989,0.98486231144989,0,0,0,0,0.98486231144989,0,0.98486231144989,0.98486231144989,0,0.98486231144989,0,0.98486231144989,0,0,0,0.98486231144989,0.98486231144989,0,0,0.98486231144989,0,0.98486231144989,0.98486231144989,0,0.98486231144989
FAM32A,0,0,0,0,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0,0,0.99967792152021,0.99967792152021,0,0,0.99967792152021,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0,0,0.99967792152021,0,0,0.99967792152021
TXNDC15,0,0.987868377261259,0,0,0.987868377261259,0,0,0.987868377261259,0.987868377261259,0.987868377261259,0.987868377261259,0,0,0.987868377261259,0,0.987868377261259,0.987868377261259,0,0,0.987868377261259,0.987868377261259,0,0.987868377261259,0,0,0.987868377261259,0,0,0.987868377261259
PSMB3,0.983412958290837,0,0,0,0,0.983412958290837,0.983412958290837,0.983412958290837,0.983412958290837,0,0,0,0.983412958290837,0.983412958290837,0,0,0,0.983412958290837,0,0.983412958290837,0.983412958290837,0.983412958290837,0,0,0,0.983412958290837,0,0,0.983412958290837
P4HA1,0,0,0.995437221536314,0,0.995437221536314,0,0.995437221536314,0,0.995437221536314,0.995437221536314,0.995437221536314,0.995437221536314,0,0.995437221536314,0.995437221536314,0,0,0,0,0.995437221536314,0.995437221536314,0,0,0,0,0.995437221536314,0,0,0.995437221536314
HSPA8,0.985935906382522,0.985935906382522,0.985935906382522,0,0.985935906382522,0,0,0,0.985935906382522,0,0,0,0,0.985935906382522,0.985935906382522,0,0,0,0,0.985935906382522,0.985935906382522,0,0,0.985935906382522,0,0.985935906382522,0,0.985935906382522,0.985935906382522
IL17RC,0,0.984057115250416,0,0.984057115250416,0.984057115250416,0,0,0,0.984057115250416,0,0.984057115250416,0.984057115250416,0,0.984057115250416,0.984057115250416,0,0.984057115250416,0.984057115250416,0,0.984057115250416,0.984057115250416,0,0,0,0,0.984057115250416,0,0,0.984057115250416
CROCC,0,0.999838960760105,0.999838960760105,0,0,0,0,0,0.999838960760105,0.999838960760105,0,0.999838960760105,0,0.999838960760105,0.999838960760105,0.999838960760105,0.999838960760105,0,0,0.999838960760105,0.999838960760105,0,0,0,0,0.999838960760105,0,0,0.999838960760105
ZNF628,0,0,0.987599978528101,0.987599978528101,0.987599978528101,0,0,0,0.987599978528101,0,0.987599978528101,0.987599978528101,0,0.987599978528101,0,0.987599978528101,0.987599978528101,0,0,0.987599978528101,0.987599978528101,0,0,0,0,0.987599978528101,0,0,0.987599978528101
RPS8,0.996188737989157,0.996188737989157,0.996188737989157,0.996188737989157,0,0,0.996188737989157,0,0.996188737989157,0,0,0,0.996188737989157,0.996188737989157,0,0,0.996188737989157,0,0,0.996188737989157,0.996188737989157,0,0,0,0,0.996188737989157,0,0,0.996188737989157
