,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ARHGEF12,0,0.9565170710758,0.760843890916899,0.903747047455443,0.972246081168134,0.963120034356882,0,0.989102426454799,0.992645479922697,0.954584496456947,0,0,0,0,0.937889199055186,1,0.992162336267984,0.992162336267984,0.98985398325102,0,0.926240068713764,0.992162336267984,0.98405625939446,0.938157612196693,0,0.964676830577625,0,0.990498174790638,0.982660511058621
MAML2,0,0.992269701524587,0.898056688855486,0.979063774962422,0.875617350225467,0.98008374490015,0,0.996081168133992,0.993880180373631,0.987438264977453,0,0,0,0,0.992538114666094,1,0.995920120249087,0.995920120249087,0.994148593515139,0,0.982660511058621,0.995920120249087,0.994363324028344,0.932843031994846,0,0.995973802877389,0,0.99602748550569,0.99092763581705
PAFAH1B2,0,0.966877818337986,0.816566459093837,0.930051535323169,0.654874382649774,0.939553360532532,0,0.974178655786987,0.966448357311574,0.961777968649345,0,0,0,0,0.966931500966287,1,0.9710113807172,0.9710113807172,0.970742967575693,0,0.933755636675972,0.9710113807172,0.953457161262615,0.778827571397896,0,0.978795361820915,0,0.973749194760576,0.982553145802018
ROCK2,0,0.973212368477561,0.973641829503972,0.960113807171999,0.860210435902942,0.965106291604037,0,0.906753274640326,0.855754777753919,0.976916469830363,0,0,0,0,0.977936439768091,1,0.854251664161477,0.854251664161477,0.889252737814043,0,0.973266051105862,0.854251664161477,0.877066781189607,0.875295254455658,0,0.961992699162551,0,0.88914537255744,0.747960060124544
MRE11A,0,0.778881254026197,0.698518359458879,0.724232338415289,0.309587717414645,0.760843890916899,0,0.763581704960275,0.745866437620786,0.804756280867511,0,0,0,0,0.779257032424307,1,0.75144943096414,0.75144943096414,0.772063560231909,0,0.743558084603822,0.75144943096414,0.784571612626154,0.640863216663088,0,0.815063345501396,0,0.755475628086751,0.826873523727722
TEAD1,0,0.95759072364183,0.973158685849259,0.996242216018896,0.970742967575693,0.966340992054971,0,0.906377496242216,0.881200343568821,0.928065278076015,0,0,0,0,0.959362250375778,1,0.873523727721709,0.873523727721709,0.903961777968649,0,0.971065063345501,0.873523727721709,0.971601889628516,0.962636890702169,0,0.944975305990981,0,0.895050461670603,0.673716985183595
MYO9A,0,0.950880395104144,0.843890916899291,0.89059480352158,0.457214945243719,0.954638179085248,0,0.960757998711617,0.964730513205927,0.969239853983251,0,0,0,0,0.941324887266481,1,0.95759072364183,0.95759072364183,0.968703027700236,0,0.91920764440627,0.95759072364183,0.963710543268198,0.80980244792785,0,0.968541979815332,0,0.960167489800301,0.988834013313292
RSF1,0,0.840294180803092,0.728204852909598,0.854627442559588,0.654015460596951,0.819304273137213,0,0.839972085033283,0.832402834442774,0.833315439123899,0,0,0,0,0.835892205282371,1,0.830846038222031,0.830846038222031,0.839059480352158,0,0.79385870732231,0.830846038222031,0.868370195404767,0.635656001717844,0,0.852050676401117,0,0.837717414644621,0.850869658578484
SOCS5,0,0.966394674683272,0.831060768735237,0.895426240068714,0.978741679192613,0.977292248228473,0,0.98657934292463,0.991142366330256,0.975842817264333,0,0,0,0,0.949055185741894,1,0.988458234915181,0.988458234915181,0.989317156968005,0,0.935580846038222,0.988458234915181,0.988834013313292,0.877442559587717,0,0.962475842817264,0,0.987438264977453,0.983358385226541
CREB1,0,0.981372127979386,0.821451578269272,0.954208718058836,0.881254026197123,0.974715482070002,0,0.994094910886837,0.995168563452867,0.979010092334121,0,0,0,0,0.975305990981318,1,0.99565170710758,0.99565170710758,0.99420227614344,0,0.959576980888984,0.99565170710758,0.992591797294396,0.940734378355164,0,0.990068713764226,0,0.995114880824565,0.995383293966073
CBL,0,0.735827786128409,0.734539403049173,0.748818982177367,0.677098990766588,0.761488082456517,0,0.744041228258536,0.739156109083101,0.738941378569895,0,0,0,0,0.726379643547348,1,0.734968864075585,0.734968864075585,0.766587932145158,0,0.765084818552716,0.734968864075585,0.791228258535538,0.84491088683702,0,0.745973802877389,0,0.741142366330256,0.789027270775177
ASH1L,0,0.670442344857204,0.49092763581705,0.520721494524372,0.539080953403479,0.659222675542194,0,0.71993772815117,0.763850118101782,0.700611981962637,0,0,0,0,0.645265192183809,1,0.734968864075585,0.734968864075585,0.743987545630234,0,0.563291818767447,0.734968864075585,0.742162336267984,0.380502469400902,0,0.694223749194761,0,0.723105003220958,0.810715052608976
RDX,0,0.730942666952974,0.629536182091475,0.585462744255959,0.722890272707752,0.77716340992055,0,0.76739317156968,0.819787416791926,0.782853768520507,0,0,0,0,0.690895426240069,1,0.790852480137427,0.790852480137427,0.80110586214301,0,0.663463603178012,0.790852480137427,0.791174575907236,0.568928494739102,0,0.72208503328323,0,0.777753918831866,0.788436761863861
STAG1,0,0.90433755636676,0.800676401116599,0.868423878033069,0.85688211294825,0.904552286879966,0,0.923716985183595,0.925059050891132,0.904552286879966,0,0,0,0,0.89564097058192,1,0.92462958986472,0.92462958986472,0.929890487438265,0,0.88297187030277,0.92462958986472,0.927260038651492,0.846467683057763,0,0.908041657719562,0,0.923824350440198,0.939338630019326
RBM7,0,0.653908095340348,0.351728580631308,0.673716985183595,0.708234915181447,0.662873094266695,0,0.850225467038866,0.89311788705175,0.594266695297402,0,0,0,0,0.601889628516212,1,0.888340133132918,0.888340133132918,0.854144298904874,0,0.522224608116813,0.888340133132918,0.869443847970797,0.520721494524372,0,0.704155035430535,0,0.868155464891561,0.774371913248873
PIK3C2A,0,0.910350010736526,0.851996993772815,0.987438264977453,0.924951685634529,0.897144084174361,0,0.895372557440412,0.876959415933004,0.733304702598239,0,0,0,0,0.91013528022332,1,0.879858277861284,0.879858277861284,0.880717199914108,0,0.898432467253597,0.879858277861284,0.953510843890917,0.820270560446639,0,0.870732231050032,0,0.88984324672536,0.527109727292248
TTBK2,0,0.943418509770238,0.728473266051106,0.930856774747692,0.728956409705819,0.927528451793,0,0.964408417436118,0.967629375134207,0.940734378355164,0,0,0,0,0.932520936225038,1,0.965750483143655,0.965750483143655,0.965321022117243,0,0.878140433755637,0.965750483143655,0.973051320592656,0.661638393815761,0,0.959684346145587,0,0.964784195834228,0.97573545200773
ATF2,0,0.826551427957913,0.706785484217307,0.755582993343354,0.64601674898003,0.872127979385871,0,0.902458664376208,0.922428602104359,0.868960704316083,0,0,0,0,0.793429246295899,1,0.91485935151385,0.91485935151385,0.910027914966717,0,0.802931071505261,0.91485935151385,0.894137856989478,0.839005797723857,0,0.86520292033498,0,0.907934292462959,0.931232553145802
TBCEL,0,0.564741249731587,0.232070002147305,0.427045308138286,0.131737169851836,0.403102855915826,0,0.698464676830578,0.697068928494739,0.512024908739532,0,0,0,0,0.556688855486365,1,0.743021258320807,0.743021258320807,0.665986686708181,0,0.384904444921623,0.743021258320807,0.668724500751557,0.172643332617565,0,0.675542194545845,0,0.707805454155035,0.790315653854413
PJA2,0,0.759716555722568,0.547509126046811,0.69019755207215,0.370732231050032,0.618048099634958,0,0.753596736096199,0.67462958986472,0.710919046596521,0,0,0,0,0.778076014601675,1,0.701309856130556,0.701309856130556,0.709147519862573,0,0.658471118745974,0.701309856130556,0.740283444277432,0.380395104144299,0,0.795576551427958,0,0.741947605754778,0.767339488941379
LEPROT,0,0.965643117887052,0.911853124328967,0.998872664805669,0.992806527807601,0.968273566673824,0,0.960328537685205,0.959845394030492,0.906484861498819,0,0,0,0,0.960060124543698,1,0.952974017607902,0.952974017607902,0.958020184668241,0,0.949914107794718,0.952974017607902,0.992216018896285,0.863216663087825,0,0.961080094481426,0,0.957375993128624,0.795039725144943
PRDM10,0,0.846843461455873,0.855486364612411,0.98223105003221,0.955282370624866,0.916791926132703,0,0.882864505046167,0.905142795791282,0.751664161477346,0,0,0,0,0.816942237491948,1,0.889521150955551,0.889521150955551,0.904015460596951,0,0.878945673180159,0.889521150955551,0.967522009877604,0.937996564311789,0,0.820002147305132,0,0.886783336912175,0.740015031135924
PTPN14,0,0.99420227614344,0.995598024479278,0.999194760575478,0.998818982177367,0.99672535967361,0,0.990337126905733,0.988350869658578,0.989424522224608,0,0,0,0,0.993450719347219,1,0.986310929783122,0.986310929783122,0.991840240498175,0,0.996456946532102,0.986310929783122,0.998282155894353,0.997637964354735,0,0.99092763581705,0,0.989531887481211,0.959469615632381
CTNND1,0,0.789725144943096,0.681447283659008,0.917167704530814,0.710060124543698,0.772707751771527,0,0.797670173931716,0.796864934507193,0.743343354090616,0,0,0,0,0.785215804165772,1,0.79745544341851,0.79745544341851,0.78768520506764,0,0.744041228258536,0.79745544341851,0.837610049388018,0.639199055185742,0,0.813828645050462,0,0.799173287524157,0.714032639038007
RIF1,0,0.542999785269487,0.324672535967361,0.415503543053468,0.31774747691647,0.515192183809319,0,0.687996564311789,0.742699162550999,0.564687567103285,0,0,0,0,0.509716555722568,1,0.743021258320807,0.743021258320807,0.700558299334335,0,0.427421086536397,0.743021258320807,0.593031994846468,0.401331329181877,0,0.641775821344213,0,0.700665664590938,0.77861284088469
DNAJB14,0,0.862787202061413,0.772707751771527,0.858009448142581,0.708073867296543,0.849688640755851,0,0.893869443847971,0.884958127549925,0.847970796650204,0,0,0,0,0.858438909168993,1,0.892795791281941,0.892795791281941,0.894459952759287,0,0.856237921408632,0.892795791281941,0.906860639896929,0.869443847970797,0,0.883723427098991,0,0.894084174361177,0.900526089757354
