,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CPSF3L,0,0.923394889413786,0.865632381361391,0.908095340347863,0,0,0.865632381361391,0.84566244363324,0.780652780760146,0,0.778505475628087,0.827839811037148,0.865041872450075,0,0.902297616491303,0.840777324457806,0,0.837985827786128,0.90036504187245,0,0.798743826497745,0.805615202920335,0.905303843676186,0.909598453940305,1,0.835784840025768,0.610908310070861,0,0
ZBTB48,0,0.928655786987331,0.914537255744041,0.919905518574189,0,0,0.91051105862143,0.898969293536612,0.885602319089543,0,0.853178011595448,0.894782048529096,0.902136568606399,0,0.923663302555293,0.891990551857419,0,0.927635817049603,0.908524801374275,0,0.885602319089543,0.893869443847971,0.905357526304488,0.90471333476487,1,0.906216448357312,0.84383723427099,0,0
MIB2,0,0.891990551857419,0.821612626154177,0.876368907021688,0,0,0.865900794502899,0.831221816620142,0.794288168348722,0,0.759555507837664,0.83514064848615,0.875456302340563,0,0.882488726648057,0.852587502684131,0,0.806742538114666,0.865847111874597,0,0.809695082671248,0.807171999141078,0.871322739961348,0.894513635387589,1,0.830201846682414,0.634636031780116,0,0
CROCC,0,0.843568821129483,0.821505260897574,0.846145587287954,0,0,0.857526304487868,0.847326605110586,0.842441485935151,0,0.846843461455873,0.855056903586,0.869336482714194,0,0.849044449216234,0.864934507193472,0,0.791067210650633,0.852963281082242,0,0.850279149667168,0.839972085033283,0.859244148593515,0.875402619712261,1,0.839166845608761,0.784034786343139,0,0
PEX14,0,0.782370624865793,0.892688426025338,0.809158256388233,0,0,0.822149452437191,0.856237921408632,0.89419153961778,0,0.899076658793215,0.852587502684131,0.812754992484432,0,0.801320592656216,0.838952115095555,0,0.886622289027271,0.824618853339059,0,0.869390165342495,0.86992699162551,0.818767446854198,0.787255744041228,1,0.852694867940734,0.942666952974018,0,0
GPATCH3,0,0.924683272493021,0.930588361606184,0.930964140004295,0,0,0.944223749194761,0.947122611123041,0.947444706892849,0,0.949592012024909,0.949323598883401,0.942989048743826,0,0.934185097702384,0.947659437406055,0,0.938103929568392,0.932574618853339,0,0.951470904015461,0.951792999785269,0.929997852694868,0.927582134421301,1,0.948357311573975,0.944492162336268,0,0
ACAP3,0,0.92210650633455,0.859619926991625,0.908363753489371,0,0,0.860961992699163,0.845501395748336,0.771419368692291,0,0.792785054756281,0.824833583852265,0.863914537255744,0,0.898378784625295,0.839703671891776,0,0.813345501395748,0.904874382649774,0,0.796811251878892,0.800193257461885,0.911262615417651,0.913570968434615,1,0.828806098346575,0.593568821129483,0,0
CCDC130,0,0.847380287738888,0.843031994846468,0.853231694223749,0,0,0.850977023835087,0.859942022761434,0.850601245436977,0,0.869497530599098,0.855593729869014,0.848346575048314,0,0.847863431393601,0.851889628516212,0,0.840240498174791,0.85833154391239,0,0.859297831221817,0.859351513850118,0.858975735452008,0.849098131844535,1,0.855969508267125,0.842656216448357,0,0
UBE2J2,0,0.703457161262615,0.665610908310071,0.697552072149452,0,0,0.651009233412068,0.656055400472407,0.617994417006657,0,0.667704530813829,0.640433755636676,0.66593300407988,0,0.674092763581705,0.653854412712046,0,0.593568821129483,0.714998926347434,0,0.630180373631093,0.624919476057548,0.726325960919047,0.729976379643547,1,0.62899935580846,0.554326819841099,0,0
THAP3,0,0.960596950826712,0.977023835086966,0.961402190251235,0,0,0.965696800515353,0.962583208073867,0.970259823920979,0,0.952651921838093,0.963603178011595,0.964462100064419,0,0.965106291604037,0.963549495383294,0,0.977453296113378,0.958503328322955,0,0.962636890702169,0.962636890702169,0.956946532102212,0.95941593300408,1,0.964676830577625,0.967146231479493,0,0
